variable_name,original_name,description,category,unit,value_range_or_categories,source_id,source_year,spatial_unit,join_id,derivation_formula,missing_value_rule,missing_rate_pct,status,notes
age_0_14_ratio,CPV person records,0-14 岁人口占比,population,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,persons_age_0_14 / persons_with_reported_age,blank if denom=0,0.0376,available,分母=已报告年龄人口。
age_65plus_ratio,CPV person records,65 岁及以上人口占比,population,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,persons_age_65plus / persons_with_reported_age,blank if denom=0,0.0376,available,分母=已报告年龄人口。
education_high_ratio,CPV person records,高等教育人口占比（15+，最高等级 8-11）,education,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,higher_education_persons_15plus / persons_15plus_with_reported_education,blank if denom=0,0.0376,available,口径=15+ 最高教育等级 8-11。
literacy_ratio,CPV person records,识字率（15 岁及以上）,education,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,literate_persons_15plus / persons_15plus_with_reported_literacy,blank if denom=0,0.0564,available,15+；缺失率略高因个别区分母=0。
employment_ratio,CPV person records,就业率（就业/劳动年龄人口）,employment,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,employed / working_age_population,blank if denom=0,0.0376,available,分母=劳动年龄人口。
unemployment_ratio,CPV person records,失业率,employment,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,unemployed / (employed + unemployed),blank if denom=0,0.0376,available,分母=经济活动人口(就业+失业)。
labor_force_participation_ratio,CPV person records,劳动参与率,employment,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,(employed + unemployed) / working_age_population,blank if denom=0,0.0376,available,分母=劳动年龄人口。
household_count,CPV household records,家庭户数,household,households,>=0,cpv2022_sector_csv,2022,census sector,tract_id,count of household records per sector,blank if suppressed (not 0),0.0,available,户数。
avg_household_size,CPV household+person,平均家庭规模,household,persons per household,>0,cpv2022_sector_csv,2022,census sector,tract_id,pop_total / household_count,blank if denom=0,0.0376,available,"分子为 pop_total（含集体户/机构人口），分母为私人家庭户数；故含大型集体机构（监狱、军营等）的少数统计区数值明显偏高（最高约 110），属真实人口结构而非错误。"
homeownership_ratio,CPV household records (H09),自有住房家庭占比,housing,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,owned/being-paid households / households_with_reported_tenure,blank if denom=0,0.0376,available,2022 用 H09；2010 用 H15，编码不同，跨年比较见 README。
rent_household_ratio,CPV household records (H09),租房家庭占比,housing,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,renting households / households_with_reported_tenure,blank if denom=0,0.0376,available,"2022 H09=4；2010 H15 in {6,7}，跨年口径差异见 README。"
cellphone_service_ratio,CPV household records,拥有手机服务家庭占比,housing,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,households_with_cellphone / households_with_reported_response,blank if denom=0,0.0376,available,分母=已应答家庭。
fixed_internet_ratio,CPV household records,固定互联网接入家庭占比,housing,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,households_with_fixed_internet / households_with_reported_response,blank if denom=0,0.0376,available,分母=已应答家庭。
computer_access_ratio,CPV household records,拥有计算机家庭占比,housing,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,households_with_computer / households_with_reported_response,blank if denom=0,0.0376,available,分母=已应答家庭。
basic_services_ratio,"CPV dwelling records (V10,V11,V12,V14)",具备全部基础设施住房占比,housing,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,"occupied private dwellings (V0201R=1) with public water V10 in {1,2}, sewer V11=1, electricity V12=1, waste V14 in {1,2}, / occupied private dwellings",blank if denom=0,0.0376,available,水/电/排污/垃圾四项齐全的已占用私人住宅占比。
housing_deficit_ratio,CPV dwelling records (DEF_HAB),住房缺陷率,housing,ratio,0-1,cpv2022_sector_csv,2022,census sector,tract_id,"dwellings DEF_HAB in {2,3} / dwellings with valid DEF_HAB in {1,2,3}",blank if denom=0,0.0376,available,"DEF_HAB in {2,3}。"
median_income,not joined,家庭中位收入,economic,local currency (USD),not available,n/a,2022,census sector,tract_id,no defensible official sector-level source; not down-scaled from coarser level,entirely missing (documented),100.0,missing,无同尺度官方来源，不由粗尺度下推；2010/2022 均缺；作社会经济替代见数字接入类指标。
poverty_rate,not joined,贫困率,economic,ratio,not available,n/a,2022,census sector,tract_id,no defensible official sector-level source,entirely missing (documented),100.0,missing,同 median_income：无同尺度官方来源，整体缺失。
median_rent,not joined,中位租金,economic,local currency (USD),not available,n/a,2022,census sector,tract_id,no defensible official sector-level source,entirely missing (documented),100.0,missing,同上，整体缺失。
house_price,not joined,房价,economic,local currency (USD),not available,n/a,2022,census sector,tract_id,no defensible official sector-level source,entirely missing (documented),100.0,missing,同上，整体缺失。
